trade_date,open,high,low,close,volume,amount,pct_chg,ma25,ma60,dif,dea,macd
2023-11-16,1631.52,1633.35,1618.69,1618.69,12557.57,2215937.273,-0.73,1592.68,1639.55,5.32,1.4,7.84
2023-11-17,1611.28,1617.72,1598.31,1612.59,21713.63,3793781.119,-0.38,1592.77,1638.41,4.05,1.93,4.24
2023-11-20,1614.04,1627.38,1597.17,1620.94,18608.04,3265514.01,0.52,1593.97,1637.8,3.67,2.28,2.78
2023-11-21,1640.18,1653.59,1627.93,1646.23,30098.45,5383107.81,1.56,1596.32,1637.78,5.35,2.89,4.92
2023-11-22,1640.07,1650.23,1637.53,1638.42,12664.57,2263460.167,-0.47,1598.29,1637.68,5.98,3.51,4.94
2023-11-23,1635.47,1644.39,1628.76,1642.55,11549.64,2055272.193,0.25,1604.03,1637.86,6.74,4.16,5.16
2023-11-24,1645.31,1645.31,1632.44,1634.27,13085.4,2329345.658,-0.5,1608.88,1637.26,6.59,4.64,3.9
2023-11-27,1630.87,1630.87,1614.04,1621.4,16260.74,2865075.217,-0.79,1613.26,1636.31,5.38,4.79,1.18
2023-11-28,1619.56,1631.41,1616.8,1626.95,14519.76,2562905.659,0.34,1617.9,1635.3,4.81,4.79,0.04
2023-11-29,1626.0,1633.35,1616.8,1632.17,17149.33,3034175.614,0.32,1621.48,1634.13,4.72,4.78,-0.12
2023-11-30,1634.02,1650.61,1628.83,1647.61,21353.42,3817513.545,0.95,1625.87,1633.14,5.83,4.99,1.68
2023-12-01,1645.6,1645.95,1607.6,1618.9,33051.31,5830850.111,-1.74,1628.94,1631.81,4.35,4.86,-1.02
2023-12-04,1618.9,1620.32,1605.1,1610.1,18440.47,3233102.118,-0.54,1631.5,1630.27,2.43,4.38,-3.9
2023-12-05,1608.32,1608.41,1570.83,1571.74,29903.01,5168983.317,-2.38,1632.4,1627.87,-2.16,3.07,-10.46
2023-12-06,1565.88,1581.37,1564.5,1566.22,23851.29,4078003.022,-0.35,1629.53,1625.48,-6.17,1.22,-14.78
2023-12-07,1567.14,1571.81,1551.78,1563.46,25041.5,4249170.906,-0.18,1626.61,1623.01,-9.46,-0.92,-17.08
2023-12-08,1563.46,1571.59,1556.3,1567.98,26288.01,4474160.126,0.29,1622.7,1620.97,-11.57,-3.05,-17.04
2023-12-11,1554.26,1567.14,1523.91,1561.62,36830.98,6172810.248,-0.41,1618.5,1619.12,-13.6,-5.16,-16.88
2023-12-12,1552.05,1572.65,1548.74,1572.65,21010.66,3564305.866,0.71,1615.52,1617.4,-14.16,-6.96,-14.4
2023-12-13,1568.26,1568.72,1523.99,1526.67,38788.7,6480807.5,-2.92,1610.43,1614.95,-18.1,-9.19,-17.82
2023-12-14,1532.15,1535.75,1503.7,1504.51,40672.15,6703240.107,-1.45,1604.61,1612.13,-22.75,-11.9,-21.7
2023-12-15,1515.85,1543.01,1511.97,1512.88,37092.51,6140791.726,0.56,1599.8,1609.47,-25.46,-14.61,-21.7
2023-12-18,1508.28,1529.73,1503.68,1528.51,19897.34,3292194.757,1.03,1596.04,1607.63,-26.06,-16.9,-18.32
2023-12-19,1531.27,1544.95,1512.96,1540.47,22206.76,3706057.587,0.78,1592.72,1605.27,-25.27,-18.57,-13.4
2023-12-20,1542.42,1544.28,1528.47,1534.78,23092.03,3816133.219,-1.51,1588.89,1602.84,-24.82,-19.82,-10.0
2023-12-21,1525.68,1555.74,1525.68,1553.58,29011.68,4827827.888,1.23,1586.29,1600.78,-22.68,-20.4,-4.56
2023-12-22,1553.3,1562.05,1542.43,1554.19,21666.84,3613238.325,0.04,1583.95,1599.12,-20.7,-20.46,-0.48
2023-12-25,1554.51,1561.58,1551.72,1555.44,12471.06,2086014.39,0.08,1581.33,1596.7,-18.81,-20.13,2.64
2023-12-26,1555.91,1558.14,1541.96,1553.58,14771.26,2457177.339,-0.12,1577.63,1594.5,-17.27,-19.56,4.58
2023-12-27,1551.72,1560.24,1545.21,1550.85,16055.5,2679221.365,-0.18,1574.12,1592.52,-16.08,-18.86,5.56
2023-12-28,1554.5,1607.53,1550.85,1604.74,38338.06,6537401.38,3.47,1572.61,1591.46,-10.66,-17.22,13.12
2023-12-29,1600.1,1627.62,1600.1,1605.68,27538.68,4768857.531,0.06,1571.47,1590.65,-6.23,-15.02,17.58
2024-01-02,1595.45,1598.41,1561.12,1567.55,32156.44,5440082.548,,1569.31,1589.54,-5.72,-13.16,14.88
2024-01-03,1563.92,1577.05,1559.47,1575.91,20229.29,3411400.667,0.53,1567.27,1588.67,-4.59,-11.45,13.72
2024-01-04,1574.98,1574.98,1547.01,1552.65,21551.07,3603970.147,-1.48,1564.09,1587.29,-5.51,-10.26,9.5
2024-01-05,1545.52,1561.64,1536.94,1547.41,20242.86,3373155.627,-0.34,1560.08,1585.7,-6.58,-9.52,5.88
2024-01-08,1545.21,1546.14,1525.68,1529.39,25586.2,4211918.629,-1.16,1556.5,1584.35,-8.79,-9.38,1.18
2024-01-09,1526.61,1537.14,1521.09,1526.61,24412.04,4009826.496,-0.18,1553.16,1583.28,-10.64,-9.63,-2.02
2024-01-10,1526.7,1543.78,1523.81,1527.07,17350.67,2856120.718,0.03,1551.38,1582.28,-11.93,-10.09,-3.68
2024-01-11,1525.77,1542.36,1523.87,1531.79,16440.55,2708764.5,0.31,1550.0,1581.32,-12.43,-10.56,-3.74
2024-01-12,1525.65,1536.15,1525.12,1528.52,11603.24,1908084.612,-0.21,1548.6,1581.81,-12.94,-11.03,-3.82
2024-01-15,1521.02,1539.6,1520.51,1525.68,17854.03,2931202.343,-0.19,1546.91,1582.02,-13.42,-11.51,-3.82
2024-01-16,1524.28,1532.19,1511.67,1525.15,25903.14,4236042.96,-0.03,1545.45,1582.24,-13.68,-11.95,-3.46
2024-01-17,1516.37,1521.47,1467.07,1467.07,51632.76,8251735.591,-3.81,1541.23,1581.51,-18.36,-13.23,-10.26
2024-01-18,1464.28,1500.37,1447.11,1498.58,60439.81,9566349.514,2.15,1540.1,1580.77,-19.31,-14.44,-9.74
